treatment,migration_rate,carrying_capacity,sigma,lambda,alpha,log_abundances,num_populations,summary_stat,fixed_metapopulation,metapopulation_generator,number_of_timesteps
1,0.0,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
2,0.01,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
3,0.02,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
4,0.03,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
5,0.04,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
6,0.05,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
7,0.06,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
8,0.07,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
9,0.08,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
10,0.09,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
11,0.1,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
12,0.11,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
13,0.12,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
14,0.13,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
15,0.14,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
16,0.15,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
17,0.16,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
18,0.17,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
19,0.18,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
20,0.19,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
21,0.2,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
22,0.21,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
23,0.22,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
24,0.23,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
25,0.24,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
26,0.25,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
27,0.26,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
28,0.27,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
29,0.28,1.0,0.5,1.0,0,false,20,PCC,false,get_random_metapopulation,300
